"","Year","AphiaID","Species.Latin.Name","Area","Country","AMS.Catch.TLW.","BMS.Catch.TLW."
"1",2018,105865,"Amblyraja radiata","27_14_B_2","GL",1.825,NA
"2",2018,107649,"Pandalus borealis","27_1","GL",801.537,NA
"3",2018,107649,"Pandalus borealis","27_2_B_2","GL",1.319,NA
"4",2018,126417,"Clupea harengus","27_14_A","GL",268.725,NA
"5",2018,126417,"Clupea harengus","27_14_B_2","GL",70,NA
"6",2018,126417,"Clupea harengus","27_2_A_1","GL",91.396,NA
"7",2018,126417,"Clupea harengus","27_2_A_2","GL",2460,NA
"8",2018,126436,"Gadus morhua","27_1","GL",2185.67,NA
"9",2018,126436,"Gadus morhua","27_14_A","GL",66.695,NA
"10",2018,126436,"Gadus morhua","27_14_B_2","GL",8342.87,NA
"11",2018,126436,"Gadus morhua","27_2_A_1","GL",2.139,NA
"12",2018,126436,"Gadus morhua","27_2_A_2","GL",4747.63,NA
"13",2018,126436,"Gadus morhua","27_2_B_2","GL",1217.51,NA
"14",2018,126437,"Melanogrammus aeglefinus","27_1","GL",266.438,NA
"15",2018,126437,"Melanogrammus aeglefinus","27_14_A","GL",8.252,NA
"16",2018,126437,"Melanogrammus aeglefinus","27_14_B_2","GL",2.564,NA
"17",2018,126437,"Melanogrammus aeglefinus","27_2_A_2","GL",780.265,NA
"18",2018,126437,"Melanogrammus aeglefinus","27_2_B_2","GL",122.468,NA
"19",2018,126439,"Micromesistius poutassou","27_14_A","GL",3.052,NA
"20",2018,126439,"Micromesistius poutassou","27_2_A_1","GL",104.938,NA
"21",2018,126439,"Micromesistius poutassou","27_2_A_2","GL",2077.56,NA
"22",2018,126439,"Micromesistius poutassou","27_4_A","GL",1475,NA
"23",2018,126439,"Micromesistius poutassou","27_5_A_2","GL",200,NA
"24",2018,126439,"Micromesistius poutassou","27_5_B_1_B","GL",10752.8,NA
"25",2018,126439,"Micromesistius poutassou","27_5_B_2","GL",5658.7,NA
"26",2018,126439,"Micromesistius poutassou","27_6_A","GL",2995.42,NA
"27",2018,126441,"Pollachius virens","27_1","GL",52.365,NA
"28",2018,126441,"Pollachius virens","27_14_A","GL",0.4,NA
"29",2018,126441,"Pollachius virens","27_14_B_2","GL",6.405,NA
"30",2018,126441,"Pollachius virens","27_2_A_2","GL",394.252,NA
"31",2018,126441,"Pollachius virens","27_2_B_2","GL",1.393,NA
"32",2018,126441,"Pollachius virens","27_5_B_1_B","GL",0.6,NA
"33",2018,126447,"Brosme brosme","27_14_B_2","GL",108.421,NA
"34",2018,126447,"Brosme brosme","27_2_A_2","GL",0.54,NA
"35",2018,126459,"Molva dypterygia","27_1","GL",15.977,NA
"36",2018,126461,"Molva molva","27_14_B_2","GL",0.537,NA
"37",2018,126461,"Molva molva","27_2_A_2","GL",1.32,NA
"38",2018,126735,"Mallotus villosus","27_1","GL",3.728,NA
"39",2018,126735,"Mallotus villosus","27_2_A_2","GL",530,NA
"40",2018,126735,"Mallotus villosus","27_5_A_2","GL",10882.2,NA
"41",2018,127023,"Scomber scombrus","27_14_A","GL",109.883,NA
"42",2018,127023,"Scomber scombrus","27_14_B_2","GL",53134.7,NA
"43",2018,127023,"Scomber scombrus","27_2_A_1","GL",10519.7,NA
"44",2018,127023,"Scomber scombrus","27_5_B_1_B","GL",2,NA
"45",2018,127139,"Limanda limanda","27_1","GL",0.934,NA
"46",2018,127141,"Platichthys flesus","27_1","GL",0.25,NA
"47",2018,127143,"Pleuronectes platessa","27_1","GL",0.182,NA
"48",2018,127143,"Pleuronectes platessa","27_2_B_2","GL",0.404,NA
"49",2018,127144,"Reinhardtius hippoglossoides","27_1","GL",1.646,NA
"50",2018,127144,"Reinhardtius hippoglossoides","27_14_A","GL",2.512,NA
"51",2018,127144,"Reinhardtius hippoglossoides","27_14_B_2","GL",2967.56,NA
"52",2018,127144,"Reinhardtius hippoglossoides","27_2_A_2","GL",21.278,NA
"53",2018,127144,"Reinhardtius hippoglossoides","27_2_B_2","GL",9.268,NA
"54",2018,127254,"Sebastes mentella","27_1","GL",25.747,NA
"55",2018,127254,"Sebastes mentella","27_14_B_2","GL",1405.92,NA
"56",2018,127254,"Sebastes mentella","27_2_A_2","GL",50.658,NA
"57",2018,127254,"Sebastes mentella","27_2_B_2","GL",5.754,NA
"58",2018,158960,"Coryphaenoides rupestris","27_14_B_2","GL",29.818,NA
"59",2018,126175,"Sebastes","27_14_B_2","GL",2.242,NA
"60",2018,151324,"Sebastes norvegicus","27_1","GL",28.841,NA
"61",2018,151324,"Sebastes norvegicus","27_14_A","GL",1.165,NA
"62",2018,151324,"Sebastes norvegicus","27_14_B_2","GL",1854.09,NA
"63",2018,151324,"Sebastes norvegicus","27_2_A_2","GL",42.518,NA
"64",2018,151324,"Sebastes norvegicus","27_2_B_2","GL",5.849,NA
"65",2018,105883,"Raja clavata","27_3_A_20","SE",0.0389,NA
"66",2018,107254,"Nephrops norvegicus","27_4_A","SE",0.359,NA
"67",2018,107254,"Nephrops norvegicus","27_4_B","SE",0.108,NA
"68",2018,107254,"Nephrops norvegicus","27_3_A_20","SE",1181.31,0.219
"69",2018,107254,"Nephrops norvegicus","27_3_A_21","SE",677.963,0.7135
"70",2018,107649,"Pandalus borealis","27_4_A","SE",92.2666,NA
"71",2018,107649,"Pandalus borealis","27_4_B","SE",2.0649,NA
"72",2018,107649,"Pandalus borealis","27_3_A_20","SE",1173.31,0.6761
"73",2018,107649,"Pandalus borealis","27_3_A_21","SE",5.9594,NA
"74",2018,125909,"Ammodytes","27_3_D_25","SE",1,NA
"75",2018,125909,"Ammodytes","27_3_D_26","SE",2,NA
"76",2018,125909,"Ammodytes","27_4_A","SE",666.922,NA
"77",2018,125909,"Ammodytes","27_4_B","SE",15988.6,NA
"78",2018,126281,"Anguilla anguilla","27_3_B_23","SE",18.1529,NA
"79",2018,126281,"Anguilla anguilla","27_3_D_24","SE",1.727,NA
"80",2018,126281,"Anguilla anguilla","27_3_D_25","SE",72.7769,0.125
"81",2018,126281,"Anguilla anguilla","27_3_D_27","SE",45.6784,0.11
"82",2018,126281,"Anguilla anguilla","27_3_D_29","SE",2.629,NA
"83",2018,126281,"Anguilla anguilla","27_3_D_30","SE",0.558,NA
"84",2018,126281,"Anguilla anguilla","27_3_A_21","SE",0.362,NA
"85",2018,126417,"Clupea harengus","27_2_A_2","SE",445.006,NA
"86",2018,126417,"Clupea harengus","27_3_B_23","SE",420.838,NA
"87",2018,126417,"Clupea harengus","27_3_D_24","SE",890.661,NA
"88",2018,126417,"Clupea harengus","27_3_D_25","SE",12353.5,0.1
"89",2018,126417,"Clupea harengus","27_3_D_26","SE",6172.81,NA
"90",2018,126417,"Clupea harengus","27_3_D_27","SE",16448.7,NA
"91",2018,126417,"Clupea harengus","27_3_D_28_2","SE",17701.4,NA
"92",2018,126417,"Clupea harengus","27_3_D_29","SE",15838.2,NA
"93",2018,126417,"Clupea harengus","27_3_D_30","SE",16196,27.358
"94",2018,126417,"Clupea harengus","27_3_D_31","SE",251.02,34.5
"95",2018,126417,"Clupea harengus","27_3_D_32","SE",207.724,NA
"96",2018,126417,"Clupea harengus","27_4_A","SE",14442.3,NA
"97",2018,126417,"Clupea harengus","27_4_B","SE",5417.88,NA
"98",2018,126417,"Clupea harengus","27_3_A_20","SE",11366.4,46.329
"99",2018,126417,"Clupea harengus","27_3_A_21","SE",5833.37,136.017
"100",2018,126425,"Sprattus sprattus","27_3_D_24","SE",125.999,NA
"101",2018,126425,"Sprattus sprattus","27_3_D_25","SE",6396.73,NA
"102",2018,126425,"Sprattus sprattus","27_3_D_26","SE",9779.6,NA
"103",2018,126425,"Sprattus sprattus","27_3_D_27","SE",6164.72,NA
"104",2018,126425,"Sprattus sprattus","27_3_D_28_2","SE",18759,NA
"105",2018,126425,"Sprattus sprattus","27_3_D_29","SE",7715.32,NA
