Year,StockKeyLabel,FisheriesGuild,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
1970,bll.27.22-32,benthic,NA,NA,NA,Density Index,4,NA,NA,2017,NA,NA,NA,NA,NA,NA
1971,bll.27.22-32,benthic,NA,NA,NA,Density Index,3,NA,NA,2017,NA,NA,NA,NA,NA,NA
1972,bll.27.22-32,benthic,NA,NA,NA,Density Index,7,NA,NA,2017,NA,NA,NA,NA,NA,NA
1973,bll.27.22-32,benthic,NA,NA,NA,Density Index,13,NA,NA,2017,NA,NA,NA,NA,NA,NA
1974,bll.27.22-32,benthic,NA,NA,NA,Density Index,26,NA,NA,2017,NA,NA,NA,NA,NA,NA
1975,bll.27.22-32,benthic,NA,NA,NA,Density Index,40,NA,NA,2017,NA,NA,NA,NA,NA,NA
1976,bll.27.22-32,benthic,NA,NA,NA,Density Index,48,NA,NA,2017,NA,NA,NA,NA,NA,NA
1977,bll.27.22-32,benthic,NA,NA,NA,Density Index,67,NA,NA,2017,NA,NA,NA,NA,NA,NA
1978,bll.27.22-32,benthic,NA,NA,NA,Density Index,40,NA,NA,2017,NA,NA,NA,NA,NA,NA
1979,bll.27.22-32,benthic,NA,NA,NA,Density Index,30,NA,NA,2017,NA,NA,NA,NA,NA,NA
1980,bll.27.22-32,benthic,NA,NA,NA,Density Index,26,NA,NA,2017,NA,NA,NA,NA,NA,NA
1981,bll.27.22-32,benthic,NA,NA,NA,Density Index,23,NA,NA,2017,NA,NA,NA,NA,NA,NA
1982,bll.27.22-32,benthic,NA,NA,NA,Density Index,36,NA,NA,2017,NA,NA,NA,NA,NA,NA
1983,bll.27.22-32,benthic,NA,NA,NA,Density Index,55,NA,NA,2017,NA,NA,NA,NA,NA,NA
1984,bll.27.22-32,benthic,NA,NA,NA,Density Index,15,NA,NA,2017,NA,NA,NA,NA,NA,NA
1985,bll.27.22-32,benthic,NA,NA,NA,Density Index,17,NA,NA,2017,NA,NA,NA,NA,NA,NA
1986,bll.27.22-32,benthic,NA,NA,NA,Density Index,18,NA,NA,2017,NA,NA,NA,NA,NA,NA
1987,bll.27.22-32,benthic,NA,NA,NA,Density Index,15,NA,NA,2017,NA,NA,NA,NA,NA,NA
1988,bll.27.22-32,benthic,NA,NA,NA,Density Index,6,NA,NA,2017,NA,NA,NA,NA,NA,NA
1989,bll.27.22-32,benthic,NA,NA,NA,Density Index,10,NA,NA,2017,NA,NA,NA,NA,NA,NA
1990,bll.27.22-32,benthic,NA,NA,NA,Density Index,1,NA,NA,2017,NA,NA,NA,NA,NA,NA
1991,bll.27.22-32,benthic,NA,NA,NA,Density Index,15,NA,NA,2017,NA,NA,NA,NA,NA,NA
1992,bll.27.22-32,benthic,NA,NA,NA,Density Index,28,NA,NA,2017,NA,NA,NA,NA,NA,NA
1993,bll.27.22-32,benthic,NA,NA,NA,Density Index,35,NA,NA,2017,NA,NA,NA,NA,NA,NA
1994,bll.27.22-32,benthic,NA,NA,NA,Density Index,63,NA,NA,2017,NA,NA,NA,NA,NA,NA
1995,bll.27.22-32,benthic,NA,NA,NA,Density Index,160,NA,NA,2017,NA,NA,NA,NA,NA,NA
1996,bll.27.22-32,benthic,NA,NA,NA,Density Index,62,NA,NA,2017,NA,NA,NA,NA,NA,NA
1997,bll.27.22-32,benthic,NA,NA,NA,Density Index,26,NA,NA,2017,NA,NA,NA,NA,NA,NA
1998,bll.27.22-32,benthic,NA,NA,NA,Density Index,22,NA,NA,2017,NA,NA,NA,NA,NA,NA
1999,bll.27.22-32,benthic,NA,NA,NA,Density Index,25,NA,NA,2017,NA,NA,NA,NA,NA,NA
2000,bll.27.22-32,benthic,NA,NA,NA,Density Index,28,NA,NA,2017,NA,NA,NA,NA,NA,NA
2001,bll.27.22-32,benthic,NA,0.55,NA,Density Index,19,NA,NA,2017,NA,NA,NA,NA,NA,NA
2002,bll.27.22-32,benthic,NA,0.3,NA,Density Index,27,NA,NA,2017,NA,NA,NA,NA,NA,NA
2003,bll.27.22-32,benthic,NA,0.36,NA,Density Index,36,NA,NA,2017,NA,NA,NA,NA,NA,NA
2004,bll.27.22-32,benthic,NA,1.11,NA,Density Index,41,NA,NA,2017,NA,NA,NA,NA,NA,NA
2005,bll.27.22-32,benthic,NA,0.79,NA,Density Index,62,NA,NA,2017,NA,NA,NA,NA,NA,NA
2006,bll.27.22-32,benthic,NA,1.97,NA,Density Index,56,NA,NA,2017,NA,NA,NA,NA,NA,NA
2007,bll.27.22-32,benthic,NA,1.13,NA,Density Index,56,NA,NA,2017,NA,NA,NA,NA,NA,NA
2008,bll.27.22-32,benthic,NA,1.36,NA,Density Index,105,NA,NA,2017,NA,NA,NA,NA,NA,NA
2009,bll.27.22-32,benthic,NA,0.86,NA,Density Index,92,NA,NA,2017,NA,NA,NA,NA,NA,NA
2010,bll.27.22-32,benthic,NA,2.27,NA,Density Index,82,NA,NA,2017,NA,NA,NA,NA,NA,NA
2011,bll.27.22-32,benthic,NA,2.79,NA,Density Index,57,NA,NA,2017,NA,NA,NA,NA,NA,NA
2012,bll.27.22-32,benthic,NA,0.98,NA,Density Index,31,NA,0,2017,NA,NA,NA,NA,NA,NA
