Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2002,cod.27.22-24,demersal,2019,1.334,0.26,25137,21876,25242,20410,1395
2003,cod.27.22-24,demersal,2019,1.164,0.26,20519,21876,24126,17205,3473
2000,cod.27.22-24,demersal,2019,1.282,0.26,33990,21876,38302,31132,3738
2004,cod.27.22-24,demersal,2019,1.145,0.26,23390,21876,23320,17686,2189
2001,cod.27.22-24,demersal,2019,1.381,0.26,28683,21876,33657,27781,2449
2014,cod.27.22-24,demersal,2019,0.939,0.26,15775,21876,12963,8083,837
2015,cod.27.22-24,demersal,2019,0.882,0.26,17368,21876,13390,8390,432
1995,cod.27.22-24,demersal,2019,1.282,0.26,29086,21876,34743,28310,3016
1994,cod.27.22-24,demersal,2019,1.073,0.26,24937,21876,21344,16642,1614
1998,cod.27.22-24,demersal,2019,1.124,0.26,27947,21876,38620,29634,5575
1999,cod.27.22-24,demersal,2019,1.331,0.26,33310,21876,43729,35934,4378
2013,cod.27.22-24,demersal,2019,1.128,0.26,14076,21876,11811,7697,1007
2008,cod.27.22-24,demersal,2019,0.97,0.26,21230,21876,14677,11302,336
2005,cod.27.22-24,demersal,2019,1.082,0.26,26537,21876,25529,18493,3265
2006,cod.27.22-24,demersal,2019,0.833,0.26,27471,21876,23113,18503,1686
2007,cod.27.22-24,demersal,2019,0.892,0.26,28691,21876,21491,17384,1325
2012,cod.27.22-24,demersal,2019,0.872,0.26,16711,21876,12653,8622,370
2009,cod.27.22-24,demersal,2019,1.047,0.26,15546,21876,10313,7313,351
2010,cod.27.22-24,demersal,2019,1.088,0.26,14459,21876,12212,8007,838
2011,cod.27.22-24,demersal,2019,0.971,0.26,13529,21876,12001,9107,299
1997,cod.27.22-24,demersal,2019,1.147,0.26,40762,21876,44477,37077,3981
2017,cod.27.22-24,demersal,2019,0.561,0.26,11374,21876,5356,3852,180
2016,cod.27.22-24,demersal,2019,0.8,0.26,13679,21876,9770,6122,143
1996,cod.27.22-24,demersal,2019,1.139,0.26,35958,21876,48791,38505,6868
2018,cod.27.22-24,demersal,2019,0.374,0.26,14509,21876,5312,3546,157
2012,dab.27.22-32,benthic,2017,NA,NA,100,NA,2476,1285,1191
2013,dab.27.22-32,benthic,2017,NA,NA,99,NA,2842,1384,1458
2015,dab.27.22-32,benthic,2017,NA,NA,94,NA,2323,1268,1055
2016,dab.27.22-32,benthic,2017,NA,NA,101,NA,2363,1356,1007
2014,dab.27.22-32,benthic,2017,NA,NA,124,NA,2026,1269,757
2016,fle.27.2223,benthic,2019,NA,NA,66.85,NA,1648,1153,495
2017,fle.27.2223,benthic,2019,NA,NA,41.36,NA,1407,1158,249
2018,fle.27.2223,benthic,2019,NA,NA,38.95,NA,982,809,173
2015,fle.27.2223,benthic,2019,NA,NA,87.17,NA,1443,1130,314
2014,fle.27.2223,benthic,2019,NA,NA,85.93,NA,1733,1193,540
2018,fle.27.2425,benthic,2019,NA,NA,116.241,NA,19107,12788,6318
2016,fle.27.2425,benthic,2019,NA,NA,209.52,NA,19779,14622,5143
2017,fle.27.2425,benthic,2019,NA,NA,196.399,NA,17055,10855,6201
2015,fle.27.2425,benthic,2019,NA,NA,171.308,NA,17055,11090,5965
2014,fle.27.2425,benthic,2019,NA,NA,138.197,NA,20154,14612,5542
2015,fle.27.2628,benthic,2017,NA,NA,84,NA,5388,4443,945
2016,fle.27.2628,benthic,2017,NA,NA,85,NA,4442,4252,191
2004,ple.27.24-32,benthic,2019,1.197,NA,0.254,NA,1295,1081,214
2018,ple.27.24-32,benthic,2019,0.541,NA,3.038,NA,2355,1644,711
2009,ple.27.24-32,benthic,2019,0.974,NA,0.442,NA,1644,1226,418
2008,ple.27.24-32,benthic,2019,0.985,NA,0.432,NA,1397,1102,294
