FisheriesGuild,StockKeyLabel,Year,Metric,Value
benthic,ple.27.21-23,1999,F/F[MSY],2.76756756756757
benthic,ple.27.21-23,2000,F/F[MSY],2.74054054054054
benthic,ple.27.21-23,2001,F/F[MSY],2.55945945945946
benthic,ple.27.21-23,2002,F/F[MSY],2.40540540540541
benthic,ple.27.21-23,2003,F/F[MSY],2.16756756756757
benthic,ple.27.21-23,2004,F/F[MSY],2.07027027027027
benthic,ple.27.21-23,2005,F/F[MSY],2.09459459459459
benthic,ple.27.21-23,2006,F/F[MSY],2.18378378378378
benthic,ple.27.21-23,2007,F/F[MSY],2.18378378378378
benthic,ple.27.21-23,2008,F/F[MSY],2.2
benthic,ple.27.21-23,2009,F/F[MSY],2.06216216216216
benthic,ple.27.21-23,2010,F/F[MSY],1.88648648648649
benthic,ple.27.21-23,2011,F/F[MSY],1.82162162162162
benthic,ple.27.21-23,2012,F/F[MSY],1.44864864864865
benthic,ple.27.21-23,2013,F/F[MSY],1.28108108108108
benthic,ple.27.21-23,2014,F/F[MSY],1.17567567567568
benthic,ple.27.21-23,2015,F/F[MSY],1.14324324324324
benthic,ple.27.21-23,2016,F/F[MSY],1.17837837837838
benthic,ple.27.21-23,2017,F/F[MSY],1.12972972972973
benthic,ple.27.21-23,2018,F/F[MSY],1.0972972972973
benthic,ple.27.21-23,1999,SSB/MSY~B[trigger],0.770990990990991
benthic,ple.27.21-23,2000,SSB/MSY~B[trigger],0.893873873873874
benthic,ple.27.21-23,2001,SSB/MSY~B[trigger],1.04702702702703
benthic,ple.27.21-23,2002,SSB/MSY~B[trigger],1.06666666666667
benthic,ple.27.21-23,2003,SSB/MSY~B[trigger],0.977657657657658
benthic,ple.27.21-23,2004,SSB/MSY~B[trigger],0.89027027027027
benthic,ple.27.21-23,2005,SSB/MSY~B[trigger],0.845225225225225
benthic,ple.27.21-23,2006,SSB/MSY~B[trigger],0.817477477477477
benthic,ple.27.21-23,2007,SSB/MSY~B[trigger],0.750990990990991
benthic,ple.27.21-23,2008,SSB/MSY~B[trigger],0.693873873873874
benthic,ple.27.21-23,2009,SSB/MSY~B[trigger],0.654954954954955
benthic,ple.27.21-23,2010,SSB/MSY~B[trigger],0.681981981981982
benthic,ple.27.21-23,2011,SSB/MSY~B[trigger],0.793333333333333
benthic,ple.27.21-23,2012,SSB/MSY~B[trigger],0.944864864864865
benthic,ple.27.21-23,2013,SSB/MSY~B[trigger],1.14288288288288
benthic,ple.27.21-23,2014,SSB/MSY~B[trigger],1.30162162162162
benthic,ple.27.21-23,2015,SSB/MSY~B[trigger],1.40036036036036
