type_var,YEAR,typeTotal
Benthic,1950,6.438
Benthic,1951,7.289
Benthic,1952,6.582
Benthic,1953,5.853
Benthic,1954,7.755
Benthic,1955,15.066
Benthic,1956,12.067
Benthic,1957,13.356
Benthic,1958,11.908
Benthic,1959,12.936
Benthic,1960,12.947
Benthic,1961,17.915
Benthic,1962,19.64
Benthic,1963,15.904
Benthic,1964,13.218
Benthic,1965,15.557
Benthic,1966,16.021
Benthic,1967,14.278
Benthic,1968,18.511
Benthic,1969,16.394
Benthic,1970,15.225
Benthic,1971,14.8
Benthic,1972,12.711
Benthic,1973,13.529
Benthic,1974,15.927
Benthic,1975,23.799
Benthic,1976,19.403
Benthic,1977,21.893
Benthic,1978,17.6
Benthic,1979,18.953
Benthic,1980,14.805
Benthic,1981,13.239
Benthic,1982,12.836
Benthic,1983,13.327
Benthic,1984,11.069
Benthic,1985,13.052
Benthic,1986,12.485
Benthic,1987,11.379
Benthic,1988,11.412
Benthic,1989,11.616
Benthic,1990,10.529
Benthic,1991,9.902
Benthic,1992,8.023
Benthic,1993,6.572
Benthic,1994,13.055
Benthic,1995,12.199
Benthic,1996,12.77
Benthic,1997,13.4
Benthic,1998,12.187
Benthic,1999,11.73
Benthic,2000,14.053
Benthic,2001,14.481
Benthic,2002,13.691
Benthic,2003,11.249
Benthic,2004,21.389
Benthic,2005,22.997
Benthic,2006,17.27223
Benthic,2007,18.71232
Benthic,2008,15.98051
Benthic,2009,15.5845
Benthic,2010,16.32823
Benthic,2011,15.32023
Benthic,2012,15.57738
Benthic,2013,20.77838
Benthic,2014,20.22615
Benthic,2015,16.42899
Benthic,2016,20.52601
Benthic,2017,16.31873
Benthic,2018,26.27992406
Demersal,1950,64.053
Demersal,1951,64.309
Demersal,1952,70.879
Demersal,1953,60.052
Demersal,1954,58.574
Demersal,1955,142.68
Demersal,1956,173.594
Demersal,1957,201.96
Demersal,1958,158.194
Demersal,1959,149.758
Demersal,1960,175.401
Demersal,1961,160.636
Demersal,1962,160.586
Demersal,1963,161.885
Demersal,1964,142.652
Demersal,1965,141.084
Demersal,1966,171.341
Demersal,1967,183.141
Demersal,1968,205.267
Demersal,1969,202.431
Demersal,1970,197.367
Demersal,1971,164.396
Demersal,1972,179.93
Demersal,1973,195.41
Demersal,1974,194.213
Demersal,1975,240.786
Demersal,1976,262.449
Demersal,1977,216.561
Demersal,1978,200.108
Demersal,1979,275.859
Demersal,1980,393.687
Demersal,1981,388.786
Demersal,1982,369.51
Demersal,1983,381.343
Demersal,1984,445.238
Demersal,1985,347.154
Demersal,1986,273.889
Demersal,1987,239.719
Demersal,1988,246.005
Demersal,1989,205.202
Demersal,1990,178.254
Demersal,1991,143.966
Demersal,1992,77.57
Demersal,1993,43.596
Demersal,1994,78.02
Demersal,1995,120.675
Demersal,1996,166.507
Demersal,1997,136.213
Demersal,1998,103.276
Demersal,1999,118.567
Demersal,2000,107.174
Demersal,2001,104.572
Demersal,2002,76.19
Demersal,2003,75.986
Demersal,2004,75.786
Demersal,2005,66.362
Demersal,2006,59.93005
Demersal,2007,53.57846
Demersal,2008,51.14078
Demersal,2009,57.74823
Demersal,2010,60.4248
Demersal,2011,62.10351
Demersal,2012,67.1901
Demersal,2013,43.82985
Demersal,2014,43.02581
Demersal,2015,52.61811
Demersal,2016,42.95675
Demersal,2017,30.2995
Demersal,2018,24.45269842
Pelagic,1950,78.298
Pelagic,1951,77.859
Pelagic,1952,67.235
Pelagic,1953,104.861
Pelagic,1954,103.334
Pelagic,1955,210.089
Pelagic,1956,198.615
Pelagic,1957,194.416
Pelagic,1958,219.899
Pelagic,1959,223.035
Pelagic,1960,205.632
Pelagic,1961,237.177
Pelagic,1962,272.743
Pelagic,1963,300.966
Pelagic,1964,323.4
Pelagic,1965,315.075
Pelagic,1966,346.439
Pelagic,1967,386.15
Pelagic,1968,441.025
Pelagic,1969,416.901
Pelagic,1970,467.924
Pelagic,1971,523.434
Pelagic,1972,484.208
Pelagic,1973,619.929
Pelagic,1974,651.79
Pelagic,1975,619.285
Pelagic,1976,591.604
Pelagic,1977,626.083
Pelagic,1978,554.285
Pelagic,1979,539.707
Pelagic,1980,512.939
Pelagic,1981,468.857
Pelagic,1982,488.884
Pelagic,1983,493.705
Pelagic,1984,482.168
Pelagic,1985,506.171
Pelagic,1986,482.534
Pelagic,1987,476.31
Pelagic,1988,577.307
Pelagic,1989,570.943
Pelagic,1990,522.998
Pelagic,1991,429.844
Pelagic,1992,495.118
Pelagic,1993,549.988
Pelagic,1994,657.945
Pelagic,1995,683.925
Pelagic,1996,792.564
Pelagic,1997,893.059
Pelagic,1998,831.436
Pelagic,1999,754.162
Pelagic,2000,742.413
Pelagic,2001,695.571
Pelagic,2002,629.084
Pelagic,2003,561.97
Pelagic,2004,623.004
Pelagic,2005,658.198
Pelagic,2006,602.48487
Pelagic,2007,650.35259
Pelagic,2008,637.76339
Pelagic,2009,665.83206
Pelagic,2010,588.7994
Pelagic,2011,507.65512
Pelagic,2012,493.08512
Pelagic,2013,529.12818
Pelagic,2014,535.24481
Pelagic,2015,585.18642
Pelagic,2016,622.73721
Pelagic,2017,637.16557
Pelagic,2018,664.71654742
undefined,1950,18.269
undefined,1951,16.937
undefined,1952,15.872
undefined,1953,23.212
undefined,1954,17.789
undefined,1955,50.298
undefined,1956,48.545
undefined,1957,52.458
undefined,1958,49.233
undefined,1959,59.424
undefined,1960,60.109
undefined,1961,48.304
undefined,1962,61.96
undefined,1963,50.233
undefined,1964,61.774
undefined,1965,64.096
undefined,1966,66.751
undefined,1967,81.167
undefined,1968,77.892
undefined,1969,72.682
undefined,1970,78.742
undefined,1971,83.77
undefined,1972,79.928
undefined,1973,92.117
undefined,1974,89.773
undefined,1975,89.669
undefined,1976,77.214
undefined,1977,72.599
undefined,1978,79.356
undefined,1979,83.667
undefined,1980,51.966
undefined,1981,43.951
undefined,1982,53.233
undefined,1983,40.872
undefined,1984,44.519
undefined,1985,40.09
undefined,1986,46.693
undefined,1987,44.594
undefined,1988,44.363
undefined,1989,48.108
undefined,1990,43.204
undefined,1991,47.983
undefined,1992,49.022
undefined,1993,46.821
undefined,1994,43.473
undefined,1995,61.372
undefined,1996,54.52
undefined,1997,54.503
undefined,1998,53.297
undefined,1999,54.728
undefined,2000,54.59
undefined,2001,67.521
undefined,2002,69.132
undefined,2003,52.833
undefined,2004,53.51
undefined,2005,46.468
undefined,2006,26.18815
undefined,2007,27.09968
undefined,2008,22.42385
undefined,2009,23.49517
undefined,2010,20.5474
undefined,2011,23.55844
undefined,2012,23.50822
undefined,2013,26.85859
undefined,2014,27.27466
undefined,2015,26.51217
undefined,2016,28.53015
undefined,2017,26.49023
undefined,2018,1.142288632
other,1950,0.001
other,1951,0
other,1952,0.005
other,1953,0
other,1954,0.001
other,1955,0.001
other,1956,0.001
other,1957,0.001
other,1958,0
other,1959,0.004
other,1960,0.001
other,1961,0
other,1962,0.001
other,1963,0.001
other,1964,0.001
other,1965,0
other,1966,0
other,1967,0.02
other,1968,0
other,1969,0.005
other,1970,0.001
other,1971,0
other,1972,0
other,1973,0
other,1974,0
other,1975,0.013
other,1976,0.002
other,1977,0
other,1978,0.007
other,1979,0.004
other,1980,0.002
other,1981,0
other,1982,0.001
other,1983,0
other,1984,0
other,1985,0.005
other,1986,0.001
other,1987,0.003
other,1988,0
other,1989,0
other,1990,0
other,1991,0.007
other,1992,0.011
other,1993,0.001
other,1994,0.003
other,1995,0.018
other,1996,0.018
other,1997,0.016
other,1998,0.004
other,1999,0.005
other,2000,0.008
other,2001,0.017
other,2002,0.007
other,2003,0.013
other,2004,0.009
other,2005,0.046
other,2006,4e-05
other,2007,2e-05
other,2008,2e-05
other,2009,1e-05
other,2010,2e-05
other,2011,0.00043
other,2012,0.00031
other,2013,0.00058
other,2014,0.00021
other,2015,0.00069
other,2016,0.00084
other,2017,0
other,2018,0.00093909
